rowId,parentDocId,prodId,price,qty,catId,plusInsurance,carNo,prodPriceRowId,prodStockRowId,insurancePrice,accessoriesHelmet,accessoriesRaincoat,accessoriesHelmetFull,fromVoltage,toVoltage,fromSoc,toSoc
67,16136899822610259,16082768393640618,780,1,2,0,ENV-6091,12,7,,1,1,1,,,,
68,16137952140620577,1,11560,1,1,1,EQB-3278,11,7,,1,1,1,,,,
69,16137962139280809,,480,1,,,,11,7,,1,1,1,,,,
70,16138004875540433,16125000020610693,0,1,3,1,EMD-8121,11,8,,1,1,1,,,,
71,16138005883130435,,680,1,,,,11,8,,1,1,1,,,,
72,16139835748120995,16125000020610693,210,1,3,1,EMD-8121,11,8,,1,1,1,,,,
73,16143300250080993,16124993747740688,1940,1,3,1,EMD-8107,11,8,,1,1,1,,,,
74,16143301570710021,16125012869860104,580,1,3,1,EMD-8091,11,8,,1,1,1,,,,
75,16143302832880533,16125008403890571,1260,1,3,1,EMD-8102,11,8,,1,1,1,,,,
76,16143303747530494,16125154256620122,1700,1,3,1,EMD-6833,11,8,,1,1,1,,,,
77,16143305278220099,16125017300830820,1460,1,3,1,EMD-7161,11,8,,1,1,1,,,,
78,16143309889150348,16125015508540328,7480,1,3,0,EMD-7175,11,8,,1,1,1,,,,
79,16143311315570120,16125158066720152,246160,1,1,0,ENY-2305,11,7,0,1,1,1,,,,
80,16143312533660035,16095648365200399,209440,1,1,0,ENV-2192,11,7,100,1,1,1,,,,
81,16143313544180601,16082772492990522,6800,1,1,0,ENS-0855,11,7,,1,1,1,,,,
82,16143342325070939,16125017300830820,780,1,3,1,EMD-7161,11,8,,1,1,1,,,,
83,16143359330910042,,1910,1,,,,11,8,,1,1,1,,,,
84,16143883554530824,16125012869860104,780,1,3,1,EMD-8091,11,8,,1,1,1,,,,
85,16143884878670067,,680,1,,,,11,8,,1,1,1,,,,
86,16143929822910171,16125000020610693,780,1,3,1,EMD-8121,11,8,,1,1,1,,,,
87,16144127229050866,16125017300830820,1460,1,3,1,EMD-7161,11,8,,1,1,1,,,,
88,16144245722020716,16125000020610693,1460,1,3,1,EMD-8121,11,8,,1,1,1,,,,
89,16144773196530913,16124997733570176,780,1,3,1,EMD-7181,11,8,,1,1,1,,,,
90,16145739566870954,16124997733570176,680,1,3,0,EMD-7181,11,8,,1,1,1,,,,
91,16146732874460113,16146775356940917,1460,1,1,1,EQD3278,11,7,,1,1,1,,,,
92,16147343814870361,16125154256620122,580,1,3,1,EMD-6833,11,8,,1,1,1,,,,
93,16147344689240077,16125154256620122,680,1,3,0,EMD-6833,11,8,,1,1,1,,,,
94,16148422676900233,,680,1,,,,11,8,,1,1,1,,,,
95,16148438913210490,,680,1,,,,11,8,,1,1,1,,,,
96,16149074031840228,,680,1,,,,11,8,,1,1,1,,,,
97,16149126998460045,16146775356940917,680,1,1,0,EQD3278,11,7,,1,1,1,,,,
98,16149227638550350,16124993747740688,890,1,3,1,EMD-8107,11,8,,1,1,1,,,,
99,16149407797420102,16125012869860104,780,1,3,1,EMD-8091,11,8,,1,1,1,,,,
100,16149985866380847,,680,1,,,,11,8,,1,1,1,,,,
101,16150791527890248,16156137962070615,800,1,3,1,MKW-6097,11,8,,1,1,1,,,,
102,16150949564450689,16125017300830820,780,1,3,1,EMD-7161,11,8,,1,1,1,,,,
103,16151053272310114,16167282756620031,1130,1,3,1,EMD-7167,11,8,,1,1,1,,,,
104,16151890361380291,16125017300830820,780,1,3,1,EMD-7161,11,8,,1,1,1,,,,
105,16152528674020673,,1360,1,,,,11,8,,1,1,1,,,,
106,16152566247280754,,20400,1,,,,11,8,,1,1,1,,,,
107,16152578656690858,,21080,1,,,,11,8,,1,1,1,,,,
108,16152816700450684,16124993747740688,680,1,3,1,EMD-8107,11,8,,1,1,1,,,,
109,16153705632510270,16125017300830820,480,1,3,0,EMD-7161,11,8,,1,1,1,,,,
110,16154347186130455,16124997733570176,430,1,3,1,EMD-7181,11,8,,1,1,1,,,,
111,16154604069820353,16125012869860104,780,1,3,1,EMD-8091,11,8,,1,1,1,,,,
112,16155117649950379,,4080,1,,,,11,7,,1,1,1,,,,
113,16155194804670526,16124993747740688,680,1,3,0,EMD-8107,11,8,,1,1,1,,,,
114,16155490946430160,16125008403890571,1460,1,3,1,EMD-8102,11,8,,1,1,1,,,,
115,16156026050880119,16125154256620122,1460,1,3,1,EMD-6833,11,8,,1,1,1,,,,
116,16156064107480290,16125000020610693,20880,1,3,0,EMD-8121,11,8,,1,1,1,,,,
117,16156067043750927,16125154256620122,1460,1,3,1,EMD-6833,11,8,,1,1,1,,,,
118,16156186613980458,16124997733570176,680,1,3,0,EMD-7181,11,8,,1,1,1,,,,
119,16156187013260139,16146775356940917,480,1,1,0,EQD3278,11,7,,1,1,1,,,,
120,16156897357120641,16124993747740688,780,1,3,1,EMD-8107,11,8,,1,1,1,,,,
121,16156935687790532,16125015508540328,780,1,3,1,EMD-7175,11,8,,1,1,1,,,,
122,16156937278100499,16125012869860104,780,1,3,1,EMD-8091,11,8,,1,1,1,,,,
123,16157012010800886,16125154256620122,650,1,3,1,EMD-6833,11,8,,1,1,1,,,,
124,16157137290990219,16156137962070615,1370,1,3,1,MKW-6097,11,8,,1,1,1,,,,
125,16157720504970145,16125015508540328,1910,1,3,0,EMD-7175,11,8,,1,1,1,,,,
126,16157797983110045,,680,1,,,,11,8,,1,1,1,,,,
127,16157800407070774,16125017300830820,550,1,3,0,EMD-7161,11,8,,1,1,1,,,,
128,16158016561120609,16125012869860104,1460,1,3,1,EMD-8091,11,8,,1,1,1,,,,
129,16158061712280901,16124997733570176,780,1,3,1,EMD-7181,11,8,,1,1,1,,,,
130,16158070002610846,16125017300830820,780,1,3,1,EMD-7161,11,8,,1,1,1,,,,
131,16158591015270490,,480,1,,,,11,8,,1,1,1,,,,
132,16158669390080127,16125008403890571,780,1,3,1,EMD-8102,11,8,,1,1,1,,,,
133,16158729222210294,16125017300830820,780,1,3,1,EMD-7161,11,8,,1,1,1,,,,
134,16158739060490432,16125008403890571,1260,1,3,1,EMD-8102,11,8,,1,1,1,,,,
135,16158740587840608,16125154256620122,1260,1,3,1,EMD-6833,11,8,,1,1,1,,,,
136,16158879051260917,,1340,1,,,,11,8,,1,1,1,,,,
137,16159471094760287,16156137962070615,1460,1,3,1,MKW-6097,11,8,,1,1,1,,,,
