carNo,disName,catProdId,storeId,plusInsurance,prodId,birthday,buyDate,buyDistance,nowDistance,status,updateDate,updator,prodCatId,pic1,pic2,pic3,pic4,officeImg,describeImg,prodPriceRowId,monthStartDistance,clientOrderId,contractMonthOfDate,engineId,color,insuranceDueDate,lat,lng,locatUpdateDate,enabledDistance,ccType,carNoDisName,contractMileage,deductibleMileage,keyBoxDoorId,ecoAuto,enabledEco,maintainDistance,maintainDays,lastMaintainDistance,lastMaintainDate,carOwner,statusChangeMsg,statusChangeDate,iotType,isPutKeyBox
ENV-6091,,,36,,16082768393640618,2020-10-30,2020-12-23,1000,11,1,20220705152911,admin,2,prod/16082768393640618-1-b8df075f94b91499f37.jpg,prod/16082768393640618-2-7afbf0b87fb4fb04339.jpg,prod/16082768393640618-3-fb14af027f501da0fdd.jpg,,office_prod/16082768393640618-officeImg-003b30d03c5f00bfec6.png,,1,11,,1,16082768393640618,黑色,20210910,,,,F,M,ENV-6091,400,400,,20226188010,F,0,0,0,,zocha,,,,F
ENS-0855,,,33,,16082772492990522,2020-10-30,2019-03-20,22,10,1,20211126101257,admin,1,prod/16082772492990522-1-66db29bbb3d785f231e.jpg,prod/16082772492990522-2-b37d8af4a2088d5c3bf.jpg,prod/16082772492990522-3-98c3ddee31eb274af59.jpg,,office_prod/16082772492990522-officeImg-df6d52fcdb0e45d7b6d.png,,1,10,,1,16082772492990522,黑色,20210924,,,,F,M,ENS-0855,400,400,,20226188010,F,0,0,0,20230516,cooperate,,,,F
ENV-2192,,,39,,16095648365200399,2021-01-27,2021-01-05,2222,1648,1,20230106122200,admin,1,prod/16095648365200399-1-859a9196392750e3efc.jpg,prod/16095648365200399-2-414f2db4418180bbb66.jpg,prod/16095648365200399-3-09fced8e71cd87181bc.jpg,,office_prod/16095648365200399-officeImg-2eac65004d700792930.png,,,1648,,28,16095648365200399,黑色,20211202,,,,T,M,ENV-2192,400,400,,,F,0,0,0,,investor,,,,F
TDW,,,36,,16097632208820760,2021-01-04,2021-01-04,123,0,1,20220705152935,admin,1,,,,,,,,0,,1,16097632208820760,黑色,20220705,,,,F,M,TDW,400,400,,,F,0,0,0,,,,,,F
TDW02,,,33,,16097632709280277,2021-01-04,2021-01-04,123,322,1,20211202103409,admin,1,,,,,,,,322,,1,16097632709280277,黑色,20211202,,,,T,M,TDW02,400,400,,,F,0,0,0,,,,,,F
TEST-01,,,1,,16119272123390824,2021-01-29,2021-01-29,0,1000,0,20250512122903,zochatest,1,prod/16119272123390824-1-685d60e9b99a6b29b05.png,,,,,,,1000,,1,16119272123390824,黑色MMM,20240816,,,,T,M,TEST-01,400,400,,,F,0,0,0,,,TEST-,20250512122903,,F
TEST-04,,,2,,16119274049940639,2021-01-29,2021-01-29,0,0,0,20210628104940,admin,1,prod/16119274049940639-1-b9c504fa56a049919b5.png,,prod/16119274049940639-3-1c2bd8242fdd48fb61f.png,prod/16119274049940639-4-b82434b2efbbbaba3fa.png,,,,0,,1,16119274049940639,白色ttt,,,,,T,M,TEST-04,400,400,,,F,0,0,0,,,,,,F
123,,,2,,16121890722780647,2021-02-01,2021-02-01,2,0,0,20210928112712,admin,2,prod/16121890722780647-1-685d60e9b99a6b29b05.png,,prod/16121890722780647-3-685d60e9b99a6b29b05.png,prod/16121890722780647-4-b82434b2efbbbaba3fa.png,,,,0,,1,3213LL,黑色333,20210928,,,,T,M,123,400,400,,,F,0,0,0,,,,,,F
EMD-8107,GOGO,,46,,16124993747740688,,,0,0,1,20240315101711,admin,3,prod/16124993747740688-1-acfe5f49cccf1afac29.jpg,prod/16124993747740688-2-f935c3815120abb919b.jpg,prod/1-3-b97e8687cab27284658.png,prod/1-4-b9c504fa56a049919b5.png,office_prod/16124993747740688-officeImg-1eae7ae6ce239862c44.png,prod/16124993747740688-describeImg-7147c8d1677e2dfbd71.png,,0,,30,RHMGSBT10J0044510,白色,20231002,,,,F,M,EMD-8107,630,630,,,F,2000,30,16000,20240101,,,,,F
EMD-7181,GOGO,,1,,16124997733570176,2018-04-01,2019-09-06,0,9250,1,20250423105256,admin,3,prod/16124997733570176-1-7c9362f15c77d0ee296.jpg,prod/16124997733570176-2-f4578d52588a57936c3.jpg,prod/1-3-b97e8687cab27284658.png,prod/1-4-b9c504fa56a049919b5.png,office_prod/16124997733570176-officeImg-1eae7ae6ce239862c44.png,,,9250,,1,RHMGSB6BT10J0043932,白色,20240816,24.135615,120.686065,20241024151000,T,M,EMD-7181,400,400,,,F,0,0,0,,,ww,20250423105256,,F
