rowId,code,disName,discount,limitLowerPrice,restCount,startDate,endDate,type,updateDate,updator,orgQty,limitNewClientUser,backDisName,useType,autoSentType,autoSentSDate,autoSentEDate,limitDays,limitType,uniqueCode
1,OPEN,開幕慶,100,680,95,20210617,20210630,PRICE,20210621162141,admin,100,N,後台 辨識用,,N,,,,FIXED,
2,MYFRIEND,折數測試,50,100,50,20210617,20210930,PERCEN,20210617182930,admin,1,Y,,,N,,,,FIXED,
3,TEST,優惠券過期測試,1,100,1,20210601,20210616,PRICE,20210617231925,admin,1,N,,,N,,,,FIXED,
4,ONEDAY,當天過期測試,150,100,1,20210617,20210617,PRICE,20210617232421,admin,1,N,,,N,,,,FIXED,
5,OPENHS,竹北開幕慶,100,100,3,20210621,20210630,PRICE,20210628143714,admin,5,N,測試開幕活動,,N,,,,FIXED,
6,Promotion,老客戶優惠,95,100,99,20210621,20210621,PERCEN,20210621165251,admin,100,N,老客戶95折券,,N,,,,FIXED,
7,tainan100,TEST 台南平日價格,100,1,99,20210623,20210624,PRICE,20210624111157,admin,100,N,TEST 台南平日價格,,N,,,,FIXED,
8,tc100,台中100元優惠,100,1,94,20210624,20220630,PRICE,20210628141510,admin,100,N,台中折扣,,N,,,,FIXED,
9,tc100-2,台中100元優惠-2,100,1,9,20210628,20220630,PRICE,20210628141750,admin,10,N,台中折扣-2,,N,,,,FIXED,
10,ONE,100金流測試,100,0,0,20210629,20210629,PRICE,20210629173629,admin,1,N,100金流測試,,N,,,,FIXED,
11,zochafree,免費騎,9999999,1,8,20210701,20220701,PRICE,20210701112053,admin,10,N,折扣折到爆,,N,,,,FIXED,
12,200,基測測試200,200,100,0,20210705,20210705,PRICE,20210705154339,admin,1,N,基測測試200,,N,,,,FIXED,
13,zochatc3,台中折扣３元,3,1,0,20210705,20220701,PRICE,20210705155019,admin,1,N,台中折扣３元,,N,,,,FIXED,
14,tc1,台中折扣１,1,1,0,20210705,20220701,PRICE,20210707142453,admin,1,N,台中折扣１,,N,,,,FIXED,
15,tc200,台中折扣200,200,1,0,20210705,20220701,PRICE,20210705155613,admin,1,N,台中折扣200,,N,,,,FIXED,
16,103,基測測試103,1,110,0,20210705,20210705,PRICE,20210705155939,admin,1,N,基測測試103,,N,,,,FIXED,
17,tc113,台中113,1,1,1,20210705,20220701,PRICE,20210705155647,admin,1,N,台中113,,N,,,,FIXED,
18,tc110,台中110,110,1,0,20210705,20220702,PRICE,20210720090147,admin,1,N,台中110,,N,,,,FIXED,
19,tc113t,台中113,113,1,0,20210705,20220702,PRICE,20210705155747,admin,1,N,台中113,,N,,,,FIXED,
20,1033,基測測試103,1,1,0,20210705,20210705,PRICE,20210705160020,admin,1,N,基測測試103,,N,,,,FIXED,
21,900,基測測試900,900,1,899,20210705,20210705,PRICE,20210705160235,admin,900,N,基測測試900,,N,,,,FIXED,
22,100,基測測試100,100,1,98,20210705,20210705,PRICE,20210707105414,admin,100,N,基測測試100,,N,,,,FIXED,
23,1000,1000,100,1,998,20210705,20210705,PRICE,20210705161558,admin,1000,N,1000,,N,,,,FIXED,
24,3,3,1,1,999,20210705,20210705,PRICE,20210705163507,admin,1000,N,3,,N,,,,FIXED,
25,33,31,3,1,0,20210705,20210705,PRICE,20210705163614,admin,1,N,31,,N,,,,FIXED,
26,tc700,台中700,700,1,0,20210705,20220701,PRICE,20210705164605,admin,1,N,台中700,,N,,,,FIXED,
27,tc683,台中683,683,1,0,20210705,20220702,PRICE,20210705164628,admin,1,N,台中683,,N,,,,FIXED,
28,tc600,台中600,600,1,0,20210705,20220702,PRICE,20210705164841,admin,1,N,台中600,,N,,,,FIXED,
29,tc680,台中680,680,1,0,20210705,20220702,PRICE,20210705165206,admin,1,N,台中680,,N,,,,FIXED,
30,tc800,台中800,800,1,0,20210705,20220702,PRICE,20210705165512,admin,1,N,台中800,,N,,,,FIXED,
31,tc793,台中793,793,1,0,20210705,20220702,PRICE,20210705165537,admin,1,N,台中793,,N,,,,FIXED,
32,700,西門700,700,1,0,20210705,20210710,PRICE,20210705171105,admin,2,N,西門700,,N,,,,FIXED,
33,tc790,台中790,790,1,0,20210705,20220806,PRICE,20210705165601,admin,1,N,台中790,,N,,,,FIXED,
34,790,西門790,1,1,9,20210705,20210710,PRICE,20210705172011,admin,10,N,西門790,,N,,,,FIXED,
35,800,西門800,1,1,9,20210705,20210710,PRICE,20210705173321,admin,10,N,西門800,,N,,,,FIXED,
36,2,2,2,1,1,20210705,20210705,PRICE,20210705165848,admin,1,N,2,,N,,,,FIXED,
37,793,西門793,793,1,9,20210705,20210710,PRICE,20210705171044,admin,10,N,西門793,,N,,,,FIXED,
38,600,西門600,600,1,8,20210705,20210710,PRICE,20210705171036,admin,10,N,西門600,,N,,,,FIXED,
39,680,西門680,680,1,9,20210705,20210710,PRICE,20210705171028,admin,10,N,西門680,,N,,,,FIXED,
40,693,西門683,683,1,10,20210705,20210710,PRICE,20210705171022,admin,10,N,西門683,,N,,,,FIXED,
41,tp100,西門100,100,1,10,20210705,20210710,PRICE,20210705171009,admin,10,N,西門100,,N,,,,FIXED,
42,110,西門110,110,1,9,20210705,20210710,PRICE,20210705171003,admin,10,N,西門110,,N,,,,FIXED,
43,tp200,西門200,200,200,8,20210705,20210710,PRICE,20210705171113,admin,10,N,西門200,,N,,,,FIXED,
44,113,西門113,113,1,10,20210705,20210710,PRICE,20210705170950,admin,10,N,西門113,,N,,,,FIXED,
45,2000,200,200,1,0,20210705,20210705,PRICE,20210705171750,admin,1,N,200,,N,,,,FIXED,
46,133,133,133,1,0,20210705,20210705,PRICE,20210705172242,admin,1,N,133,,N,,,,FIXED,
47,tp790,西門790,790,1,9,20210705,20210710,PRICE,20210705172646,admin,10,N,西門790,,N,,,,FIXED,
48,p100,1000,100,1,0,20210705,20210705,PRICE,20210705172700,admin,1,N,1000,,N,,,,FIXED,
49,00790,西門00790,790,1,9,20210705,20210830,PRICE,20210705172923,admin,10,N,西門00790,,N,,,,FIXED,
50,p790,790,1,1,0,20210705,20210705,PRICE,20210705172852,admin,1,N,790,,N,,,,FIXED,
51,tp800,西門800,800,1,9,20210705,20210710,PRICE,20210705173413,admin,10,N,西門800,,N,,,,FIXED,
52,p110,110,1,1,0,20210705,20210705,PRICE,20210705173927,admin,1,N,110,,N,,,,FIXED,
53,213,基隆213,213,1,1,20210705,20210705,PRICE,20210705174141,admin,1,N,基隆213,,N,,,,FIXED,
54,210,基隆210,210,1,1,20210705,20210705,PRICE,20210705174208,admin,1,N,基隆210,,N,,,,FIXED,
55,783,基隆783,783,1,1,20210705,20210705,PRICE,20210705174232,admin,1,N,基隆783,,N,,,,FIXED,
56,基隆780,基隆780,700,1,1,20210705,20210705,PRICE,20210705174258,admin,1,N,基隆780,,N,,,,FIXED,
57,893,基隆893,1,1,1,20210705,20210705,PRICE,20210705174319,admin,1,N,基隆893,,N,,,,FIXED,
58,890,基隆890,890,1,1,20210705,20210705,PRICE,20210705174337,admin,1,N,基隆890,,N,,,,FIXED,
59,683,683,1,1,0,20210705,20210705,PRICE,20210705175007,admin,1,N,683,,N,,,,FIXED,
60,p683,683,1,1,0,20210705,20210705,PRICE,20210705175052,admin,1,N,p683,,N,,,,FIXED,
61,pp683,p683,1,1,0,20210705,20210705,PRICE,20210705175340,admin,1,N,p683,,N,,,,FIXED,
62,683683,683683,1,1,0,20210705,20210705,PRICE,20210705175408,admin,1,N,683683,,N,,,,FIXED,
63,p680,680,1,1,0,20210705,20210705,PRICE,20210705180221,admin,1,N,p680,,N,,,,FIXED,
64,pp680,pp680,1,1,9,20210705,20210705,PRICE,20210705180332,admin,10,N,pp680,,N,,,,FIXED,
65,00683,西門00683,683,1,9,20210705,20210710,PRICE,20210705181055,admin,10,N,西門00683,,N,,,,FIXED,
66,TN200,錯誤TN200,1,1,1,20210706,20210731,PRICE,20210706191849,admin,1,N,錯誤TN200,,N,,,,FIXED,
67,TN103,TN103,1,1,50,20210706,20210731,PRICE,20210706191800,admin,50,N,TN103,,N,,,,FIXED,
68,TN2000,TN200,1,1,49,20210706,20210731,PRICE,20210706191936,admin,50,N,TN200,,N,,,,FIXED,
69,TN100,TN100,1,1,10,20210706,20210731,PRICE,20210706192129,admin,10,N,TN100,,N,,,,FIXED,
70,TN90,TN90,1,1,1,20210706,20210731,PRICE,20210706192149,admin,1,N,TN90,,N,,,,FIXED,
71,TN300,TN300,1,1,9,20210706,20210731,PRICE,20210706192209,admin,10,N,TN300,,N,,,,FIXED,
72,TN213,TN213,1,1,10,20210706,20210731,PRICE,20210706192224,admin,10,N,TN213,,N,,,,FIXED,
73,TN210,TN210,1,1,10,20210706,20210731,PRICE,20210706192247,admin,10,N,TN210,,N,,,,FIXED,
74,TN800,TN800,1,1,10,20210706,20210731,PRICE,20210706192311,admin,10,N,TN800,,N,,,,FIXED,
75,TN783,TN783,1,1,10,20210706,20210731,PRICE,20210706192325,admin,10,N,TN783,,N,,,,FIXED,
76,TN700,TN700,1,1,10,20210706,20210731,PRICE,20210706192349,admin,10,N,TN700,,N,,,,FIXED,
77,TN780,TN780,1,1,1,20210706,20210731,PRICE,20210706192406,admin,1,N,TN780,,N,,,,FIXED,
78,TN900,TN900,1,1,10,20210706,20210731,PRICE,20210706192427,admin,10,N,TN900,,N,,,,FIXED,
79,TN893,TN893,1,1,10,20210706,20210731,PRICE,20210706192439,admin,10,N,TN893,,N,,,,FIXED,
80,TN890,TN890,1,1,10,20210706,20210731,PRICE,20210706192509,admin,10,N,TN890,,N,,,,FIXED,
81,N200,N200,200,1,4,20210706,20210731,PRICE,20210706223440,admin,5,N,N200,,N,,,,FIXED,
82,N213,N213,213,1,4,20210706,20210731,PRICE,20210706223502,admin,5,N,N213,,N,,,,FIXED,
83,N103,N103,103,1,4,20210706,20210731,PRICE,20210706223530,admin,5,N,N103,,N,,,,FIXED,
84,N100,N100,100,1,4,20210706,20210731,PRICE,20210706223602,admin,5,N,N100,,N,,,,FIXED,
85,N90,N90,90,1,5,20210706,20210731,PRICE,20210706223632,admin,5,N,N90,,N,,,,FIXED,
86,N300,N300,300,1,4,20210706,20210731,PRICE,20210706223705,admin,5,N,N300,,N,,,,FIXED,
87,N210,N210,210,1,5,20210706,20210731,PRICE,20210706223847,admin,5,N,N210,,N,,,,FIXED,
88,N800,N800,800,1,4,20210706,20210731,PRICE,20210706223906,admin,5,N,N800,,N,,,,FIXED,
89,N783,N783,783,1,3,20210706,20210731,PRICE,20210706223927,admin,5,N,N783,,N,,,,FIXED,
90,N700,N700,700,1,4,20210706,20210731,PRICE,20210706223947,admin,5,N,N700,,N,,,,FIXED,
91,N780,N780,780,1,4,20210706,20210731,PRICE,20210706224013,admin,5,N,N780,,N,,,,FIXED,
92,N900,N900,900,1,4,20210706,20210731,PRICE,20210706224032,admin,5,N,N900,,N,,,,FIXED,
93,N893,N893,893,1,0,20210706,20210731,PRICE,20210706224052,admin,1,N,N893,,N,,,,FIXED,
94,N890,N890,890,1,4,20210706,20210731,PRICE,20210706224136,admin,5,N,N890,,N,,,,FIXED,
95,0100,基隆測試100 2,100,1,9,20210707,20210710,PRICE,20210707105452,admin,10,N,基隆測試100 2,,N,,,,FIXED,
96,0200,基隆測試200 2,200,1,9,20210707,20210710,PRICE,20210707110059,admin,10,N,基隆測試200 2,,N,,,,FIXED,
97,0700,基隆測試700 2,700,100,9,20210707,20210710,PRICE,20210707124403,admin,10,N,基隆測試700 2,,N,,,,FIXED,
98,0800,基隆測試800 2,800,1,9,20210707,20210710,PRICE,20210707141401,admin,10,N,基隆測試800 2,,N,,,,FIXED,
99,01,台中測試1,1,1,9,20210707,20210710,PRICE,20210707142547,admin,10,N,台中測試1,,N,,,,FIXED,
100,0600,台中測試 600,600,1,9,20210707,20210710,PRICE,20210707142940,admin,10,N,台中測試 600,,N,,,,FIXED,
101,00700,台中測試 700,700,1,11,20210707,20210710,PRICE,20210707143306,admin,12,N,台中測試 700,,N,,,,FIXED,
102,Venson,Venson優惠券,100,100,0,20210714,20210714,PRICE,20210714112352,admin,1,N,Venson,,N,,,,FIXED,
103,D10,D10,10,100,9,20210720,20210831,PRICE,20210720090344,admin,10,N,D10,,N,,,,FIXED,
104,D90,D90,90,600,0,20210731,20210831,PERCEN,20210720090422,admin,1,N,D90,,N,,,,FIXED,
105,0729test,729測試,10,100,10,20210729,20210831,PRICE,20210729071321,admin,10,N,729測試,,N,,,,FIXED,
106,test00000,測試0元訂單,0,1,4,20210821,20210822,PERCEN,20210821122416,admin,5,N,測試0元訂單,,N,,,,FIXED,
107,test000,測試0元,0,1,9,20210801,20210831,PERCEN,20210821123255,admin,10,N,測試0元,,N,,,,FIXED,
108,TC00,0元,0,1,100,20210823,20230831,PERCEN,20210823154951,zocha.tc,100,N,0元,,N,,,,FIXED,
109,TC30,3成,30,1,100,20210823,20220831,PERCEN,20210823155130,zocha.tc,100,N,3成,,N,,,,FIXED,
110,0910,0910,1,1,9999999,20210910,20220910,PRICE,20210910175233,admin,9999999,N,0910,MORE,N,,,,FIXED,
111,0911,0911,1,1,9999999,20210911,20230901,PRICE,20210911095600,admin,9999999,N,0911,MORE,N,,,,FIXED,
112,TC1000TC,折1000,1000,1,9999999,20210911,20220930,PRICE,20210911121037,zocha.tc,9999999,N,折1000,MORE,N,,,,FIXED,
113,9991,測試單次,1,1,4,20210911,20210911,PRICE,20210911140654,admin,5,N,測試單次,ONE,N,,,,FIXED,
114,9992,測試重複,999,1,9999999,20210911,20210911,PRICE,20210911140815,admin,9999999,N,測試重複,MORE,N,,,,FIXED,
115,0915,0915,1,1,9999999,20210915,20230915,PRICE,20210915175902,admin,9999999,N,0915,MORE,N,,,,FIXED,
116,0923,09231,12,1,9999999,20210923,20230929,PERCEN,20210923114724,admin,9999999,N,09231,MORE,N,,,,FIXED,
118,123,測試,100000,1,0,20220211,20220211,PRICE,20220211183533,admin,1,N,測試,ONE,N,,,,FIXED,
