storeId,disName,addr,areaId,gpsLat,gpsLng,createDate,phone,status,pic,updateDate,updator,descp,payCash,payCredit,payLINE,payIcp,withoutMofunInvoice,payEndPriceAtRent,alertEmail,alertChannel,priceType,saleInsuranceAbled,frontInsuranceDesc,checkOnlyClientLicense,checkAdminUserCode,frontDisName,outsideServiceReturn,frontRefundRuleDesc,pdfDisName,isFrontRentable,keyBoxId,isNoStaffStore,storeGroupId,oneDayRentAble,isForeignRentOnSite,isShowStoreInfoBtn,isPaymentRequired,entranceType,exitType,memoNote,skipProdImgType,payEndPriceAtDeposit
1,ZOCHA台北西門店-測試機,台北市萬華區漢口街二段74巷4號1樓,1,25.0457719,121.5020551,2020/09/,02-26559021,1,store/1-9c83610a0ea5f7b6d98.png,20201213092329,admin,,F,F,T,T,F,F,timfan1121@gmail.com,https://hooks.slack.com/services/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,MOFUNV2,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,ZOCHA台北西門店,T,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),ZOCHA台北西門店,T,890937195,F,1,T,T,T,F,1,1,進出場時請務必使用感應卡感應進出，請勿將卡片插入機器！若將卡片插入機器，將導致無法退出，需專人處理，相關費用將由客戶自行承擔，包含卡片取出與修復費用、營業損失費用、相關車資費用及臨時停車費。,none,F
2,ZOCHA台東站前店-測試機,台東市新站路237巷11-1號,3,22.792829,	121.12528,,02-2655-9021,1,store/2-9c83610a0ea5f7b6d98.png,20201213092749,admin,fffffffffffff,T,T,F,F,F,T,,https://hooks.slack.com/services/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,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,ZOCHA台東站前店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),ZOCHA台東站前店,T,,F,1,F,T,F,F,,,,none,F
3,ZOCHA台中站前店-測試機,台中市東區復興路四段137號 ZOCHA台中站前店,2,24.0629028,119.858368,,04-22220243,1,store/3-9224cf16b04b1d1df34.png,20201213092813,admin,,T,T,T,T,F,F,,https://hooks.slack.com/services/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,MOFUNV2,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,F,ZOCHA台中站前店,T,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),ZOCHA台中站前店,T,,T,1,T,T,F,F,,,,none,F
4,ZOCHA租機車-南港無人店-測試機,115台北市南港區經貿二路2號,1,25.0457719,121.5020551,,02-2655-9021-44,1,,,,,T,T,T,T,F,F,,,MOFUNV2,T,,F,F,ZOCHA租機車-南港無人店,T,,ZOCHA租機車-南港無人店,T,890937195,T,1,T,T,T,F,3,3,,none,F
14,ZOCHA台南文創店,台南市東區北門路二段16號 ZOCHA台南文創店,5,22.999437548470674,120.21288018488315,,06-2231605,1,,,,,T,T,F,F,F,F,,https://hooks.slack.com/services/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,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,ZOCHA台南文創店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),ZOCHA台南文創店,T,,F,1,F,T,F,F,,,,none,F
15,ZOCHA基隆義一店,基隆市中正區義一路71號,6,25.1342312,121.744245,,02-24280412,1,,,,,T,T,T,T,F,T,,https://hooks.slack.com/services/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,MOFUN,T,"租賃過程中如遇車輛外觀損壞時，可免負擔車損(MOFUN負擔)壹萬元以內。「車輛擦撞、損毀時，請務必報警」，並索取事故三聯單。本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。
",F,T,ZOCHA基隆義一店,T,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),ZOCHA基隆義一店,T,,F,1,F,T,F,F,,,,none,F
16,ZOCHA彰化正楙店,彰化縣彰化市中山路二段559號,7,120.545046,24.079505,,04-728-2655,1,,,,,T,T,F,F,F,F,,https://hooks.slack.com/services/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,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,ZOCHA彰化正楙店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),ZOCHA彰化正楙店,T,,F,,F,T,F,F,,,,none,T
17,新竹欣益站前店,新竹市中華路二段595號,8,120.967,24.799,,03-5254614,1,,,,,T,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,新竹欣益站前店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),新竹欣益站前店,T,,F,,F,T,F,F,,,,none,F
18,桃園內壢站前店,桃園市中壢區中華路一段336號1樓,9,121.2543023,24.9724452,,"03-4552373 ",1,,,,,T,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,桃園內壢站前店,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),桃園內壢站前店,T,,F,,F,T,F,F,,,,none,F
19,台東璞草行旅,950台東縣台東市志航路一段412巷1號,10,120.417771,23.9407938,,0933-611-666,1,,,,,T,T,F,F,F,F,,,MOFUN,T,當車輛外觀維修金額1萬元以下時，承租人享有車損免賠償之保障(MOFUN負擔)，若維修金額超出1萬元以上，則由承租人負擔差額，本公司車輛維修之費用皆依原廠報價單為依據，方案效力期間為租用車輛期間。,F,T,台東璞草行旅,F,1.出發前72小時以上的訂單訂金會扣除匯款手續費後全額退款。<br/>2.72小時以內的訂單，訂金不退款。(因不可抗力因素影響不在此限),台東璞草行旅,T,,F,,F,T,F,F,,,,none,F
